ref no,name,url
DL09011473,SDMC Malaria Store,builtDetail.do?refId=11473&state=07
DL09011645,Qaziyon Ki Masjid,builtDetail.do?refId=11645&state=07
DL09011658,Dargah Baba Burhan Uddin Sakkar,builtDetail.do?refId=11658&state=07
DL09011472,Unknown Graves,builtDetail.do?refId=11472&state=07
DL09011834,Metcalfe s folly 1.2,builtDetail.do?refId=11834&state=07
DL09011643,Chaumukha Darwaza,builtDetail.do?refId=11643&state=07
DL09011344,Chaumukha Darwaza,builtDetail.do?refId=11344&state=07
DL09011644,Madina Masjid,builtDetail.do?refId=11644&state=07
DL02012311,Commerative column,builtDetail.do?refId=12311&state=07
DL06011971,Gateway,builtDetail.do?refId=11971&state=07
DL06012360,Jail-Salim Garh Fort,builtDetail.do?refId=12360&state=07
DL06012410,Ammunition Room at Salimgarh Fort,builtDetail.do?refId=12410&state=07
DL06012310,Museum-Salimgarh fort,builtDetail.do?refId=12310&state=07
DL09011641,Auliya Masjid ,builtDetail.do?refId=11641&state=07
DL09011323,Personal Chamber of Hazrat Nizamuddin  ,builtDetail.do?refId=11323&state=07
DL09011640,Dargah of Shaikh Najibuddin Mutawakkil,builtDetail.do?refId=11640&state=07
DL05012004,Lady reading health School,builtDetail.do?refId=12004&state=07
DL09012009,Southern gateway and Walls of Chirag Delhi village,builtDetail.do?refId=12009&state=07
DL09011993,Eastern gateway and walls of Chirag Delhi,builtDetail.do?refId=11993&state=07
DL09011434,Eastern Gateway and walls of Chirag Delhi,builtDetail.do?refId=11434&state=07
DL09012008,Circular Bastion and Chhatri,builtDetail.do?refId=12008&state=07
DL09012007,Northern Gateway of Chirag Delhi,builtDetail.do?refId=12007&state=07
DL09011449,Northern Gateway of Chiragh Delhi,builtDetail.do?refId=11449&state=07
DL09011341,Northern Gateway of Chiragh Delhi,builtDetail.do?refId=11341&state=07
DL09011450,Tomb of Shaikh Usman Saiyah,builtDetail.do?refId=11450&state=07
DL09011529,Mosque,builtDetail.do?refId=11529&state=07
DL05012475,Mosque  ,builtDetail.do?refId=12475&state=07
DL09011339,Majlis Khana,builtDetail.do?refId=11339&state=07
DL09011338,Tomb,builtDetail.do?refId=11338&state=07
DL09011456,Tomb,builtDetail.do?refId=11456&state=07
DL09012474,Tomb,builtDetail.do?refId=12474&state=07
DL09011337,Tomb,builtDetail.do?refId=11337&state=07
DL09011709,Tomb of Shaikh Salahuddin Darwesh,builtDetail.do?refId=11709&state=07
DL09011710,Tomb ,builtDetail.do?refId=11710&state=07
DL09012473,Tomb,builtDetail.do?refId=12473&state=07
DL09011726,Tomb ,builtDetail.do?refId=11726&state=07
DL09012472,Tomb of Sheikh Alauddin,builtDetail.do?refId=12472&state=07
DL09011716,Tomb of Shaikh Alauddin,builtDetail.do?refId=11716&state=07
DL09011475,Dukh Bhanjan Gurudwara,builtDetail.do?refId=11475&state=07
DL09011388,Dukh Bhanjan Gurudwara ,builtDetail.do?refId=11388&state=07
DL05012371,Lady Irwin College,builtDetail.do?refId=12371&state=07
DL09011336,Tomb Enclosure ,builtDetail.do?refId=11336&state=07
DL09011653,Tomb Enclosure ,builtDetail.do?refId=11653&state=07
DL09011727,Enclosure of Farid Murtaza Khan Grave,builtDetail.do?refId=11727&state=07
DL09011585,Jamia Faridia & Jama Masjid,builtDetail.do?refId=11585&state=07
DL09011484,Wall Mosque,builtDetail.do?refId=11484&state=07
DL09011402,Wall Mosque,builtDetail.do?refId=11402&state=07
DL09011399,Wall Mosque,builtDetail.do?refId=11399&state=07
DL09011476,Wall Mosque,builtDetail.do?refId=11476&state=07
DL09011394,Wall Mosque,builtDetail.do?refId=11394&state=07
DL09011437,Wall Mosque,builtDetail.do?refId=11437&state=07
DL09011387,Wall Mosque,builtDetail.do?refId=11387&state=07
DL09011637,Jama Masjid Karima & Dargah,builtDetail.do?refId=11637&state=07
DL09011432,Wall Mosque,builtDetail.do?refId=11432&state=07
DL09011373,Wall Mosque,builtDetail.do?refId=11373&state=07
DL05012370,Bahawalpur House  National School of Drama ,builtDetail.do?refId=12370&state=07
DL09011485,Gateway,builtDetail.do?refId=11485&state=07
DL08012470,Gateway of mosque,builtDetail.do?refId=12470&state=07
DL09011491,Gateway of Mosque,builtDetail.do?refId=11491&state=07
DL05012540,Lok Nayak Jay Prakash Narayan Hospital,builtDetail.do?refId=12540&state=07
DL03012332,Memorial,builtDetail.do?refId=12332&state=07
DL01012219,Tomb of Paik,builtDetail.do?refId=12219&state=07
DL01012068,Wall,builtDetail.do?refId=12068&state=07
DL01012070,Well,builtDetail.do?refId=12070&state=07
DL09012063,Katra,builtDetail.do?refId=12063&state=07
DL09012064,Enclosure Walls,builtDetail.do?refId=12064&state=07
DL09012161,Mosque,builtDetail.do?refId=12161&state=07
DL09011586,Majlis Khana,builtDetail.do?refId=11586&state=07
DL09011951,Residence,builtDetail.do?refId=11951&state=07
DL08012012,Commercial and Residential block,builtDetail.do?refId=12012&state=07
DL08012011,Commercial block,builtDetail.do?refId=12011&state=07
DL08012010,Commercial Block,builtDetail.do?refId=12010&state=07
DL09011861,Gateway of Inner Kot,builtDetail.do?refId=11861&state=07
DL09011448,Mirza Ghalib s Tomb,builtDetail.do?refId=11448&state=07
DL05012005,Gateway,builtDetail.do?refId=12005&state=07
DL09011654,Gateway,builtDetail.do?refId=11654&state=07
DL09012029,Well,builtDetail.do?refId=12029&state=07
DL09011736,Well,builtDetail.do?refId=11736&state=07
DL05011999,Gateway,builtDetail.do?refId=11999&state=07
DL09011494,Gateway,builtDetail.do?refId=11494&state=07
DL09011508,Bari Ka Gumbad,builtDetail.do?refId=11508&state=07
DL09011403,Dalan of Atgah Khan,builtDetail.do?refId=11403&state=07
DL09011495,Dalan of Atgah Khan,builtDetail.do?refId=11495&state=07
DL09012180,Residence,builtDetail.do?refId=12180&state=07
DL05012002,Mosque,builtDetail.do?refId=12002&state=07
DL09011583,Gateway of the house of Mirza Jahangir,builtDetail.do?refId=11583&state=07
DL09012020,Eastern Gateway of Dargah,builtDetail.do?refId=12020&state=07
DL09012185,Dalan of Mirdha Ikram,builtDetail.do?refId=12185&state=07
DL09011579,Dalan of Mirdha Ikran,builtDetail.do?refId=11579&state=07
DL09011655,Tomb,builtDetail.do?refId=11655&state=07
DL09011693,Jamaat Khana Mosque,builtDetail.do?refId=11693&state=07
DL09011700,Tomb of Hazrat Nizamuddin,builtDetail.do?refId=11700&state=07
DL09012181,Majlis Khana,builtDetail.do?refId=12181&state=07
DL09011656,Majlis Khana,builtDetail.do?refId=11656&state=07
DL09012179,Enclosure of  grave of Nawab Mustafa Khan,builtDetail.do?refId=12179&state=07
DL09011672,Enclosure of Nawab Mustafa Khan,builtDetail.do?refId=11672&state=07
DL05012468,Gateway to Inner enclosure of Dargah ,builtDetail.do?refId=12468&state=07
DL09011422,Gateway to Inner Enclosure of Dargah,builtDetail.do?refId=11422&state=07
DL09011500,Arcaded Building,builtDetail.do?refId=11500&state=07
DL09011365,Arcaded Building,builtDetail.do?refId=11365&state=07
DL09011509,Tomb of Bai Kodaldai,builtDetail.do?refId=11509&state=07
DL09012177,Chini Ka Burj,builtDetail.do?refId=12177&state=07
DL09012176,Tomb,builtDetail.do?refId=12176&state=07
DL09011493,Tomb,builtDetail.do?refId=11493&state=07
DL09011504,Northern Gateway of Dargah Complex,builtDetail.do?refId=11504&state=07
DL09012084,Khan-e-dauran khan s Mosque,builtDetail.do?refId=12084&state=07
DL09011862,Gateway ,builtDetail.do?refId=11862&state=07
DL09011673,Gateway,builtDetail.do?refId=11673&state=07
DL09011950,Gateway,builtDetail.do?refId=11950&state=07
DL09011996,Gateway,builtDetail.do?refId=11996&state=07
DL05011949,Tomb,builtDetail.do?refId=11949&state=07
DL09011831,Mahal,builtDetail.do?refId=11831&state=07
DL09011613,Do Sirihya Gumbad,builtDetail.do?refId=11613&state=07
DL05012368,Scindia House ,builtDetail.do?refId=12368&state=07
DL05012027,Mosque,builtDetail.do?refId=12027&state=07
DL05012190,Mosque,builtDetail.do?refId=12190&state=07
DL09011502,Tomb,builtDetail.do?refId=11502&state=07
